,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
145,arraial do cabo,36.0,BR,1615613923,87.0,-22.9661,-42.0278,76.21,4.38
146,mar del plata,0.0,AR,1615613923,87.0,-38.0023,-57.5575,60.01,5.75
147,talnakh,100.0,RU,1615613923,97.0,69.4865,88.3972,-8.23,19.19
148,san felipe,68.0,VE,1615613924,96.0,10.3399,-68.7425,69.15,3.31
149,wanlaweyn,73.0,SO,1615613924,54.0,2.6185,44.8938,84.36,16.2
150,platanos,20.0,GR,1615613924,87.0,37.6667,21.6167,46.4,6.91
151,narsaq,75.0,GL,1615613788,44.0,60.9167,-46.05,12.2,4.61
152,carnarvon,2.0,AU,1615613924,32.0,-24.8667,113.6333,96.8,11.5
153,burica,,,,,,,,
154,indiaroba,44.0,BR,1615613925,92.0,-11.5192,-37.5117,73.54,1.77
155,abalak,91.0,RU,1615613925,91.0,58.1286,68.5944,11.71,10.4
156,darhan,66.0,MN,1615613643,25.0,49.4867,105.9228,54.61,15.46
157,sao filipe,0.0,CV,1615613925,74.0,14.8961,-24.4956,69.1,2.35
158,yushan,40.0,CN,1615613925,51.0,31.3776,120.9543,64.99,6.71
159,longyearbyen,75.0,SJ,1615613799,79.0,78.2186,15.6401,12.2,2.3
160,lopsmarka,75.0,NO,1615613926,69.0,67.3134,14.4493,35.01,19.57
161,nara,75.0,JP,1615613926,76.0,34.6851,135.8049,57.0,8.05
162,songjianghe,100.0,CN,1615613926,91.0,42.1859,127.479,39.09,1.99
163,svetlogorsk,78.0,BY,1615613926,98.0,52.6333,29.7333,33.35,9.44
164,koslan,48.0,RU,1615613927,88.0,63.4564,48.8989,9.95,9.51
165,hegang,18.0,CN,1615613927,61.0,47.4,130.3667,41.14,8.1
166,mount gambier,90.0,AU,1615613927,67.0,-37.8333,140.7667,60.8,21.85
167,ilulissat,45.0,GL,1615613927,72.0,69.2167,-51.1,3.2,3.44
168,klaksvik,75.0,FO,1615613927,93.0,62.2266,-6.589,37.4,9.22
169,aosta,2.0,IT,1615613928,55.0,45.7667,7.4167,35.6,2.3
170,benghazi,0.0,LY,1615613928,54.0,32.1167,20.0667,55.09,5.53
171,cairo,40.0,EG,1615613928,62.0,30.0626,31.2497,55.4,10.36
172,kayes,0.0,ML,1615613928,20.0,14.0,-11,66.63,4.81
173,katsuura,75.0,JP,1615613929,88.0,35.1333,140.3,60.8,16.11
174,corn island,6.0,NI,1615613929,77.0,12.1694,-83.0418,79.77,19.15
175,flinders,44.0,AU,1615613929,73.0,-34.5833,150.8552,84.0,5.01
176,hunza,,,,,,,,
177,kawalu,100.0,ID,1615613921,50.0,-7.3817,108.2082,88.86,3.27
178,grand river south east,,,,,,,,
179,huaihua,27.0,CN,1615613929,61.0,27.5494,109.9592,73.85,1.39
180,mys shmidta,,,,,,,,
181,sanmenxia,6.0,CN,1615613930,52.0,34.7747,111.1814,64.45,14.07
182,esmeraldas,0.0,BR,1615613887,83.0,-19.7625,-44.3139,69.8,5.75
183,itaituba,20.0,BR,1615613930,94.0,-4.2761,-55.9836,77.0,1.01
184,sentyabrskiy,,,,,,,,
185,raga,55.0,SS,1615613930,20.0,8.4596,25.678,83.05,2.3
186,kavieng,45.0,PG,1615613881,62.0,-2.5744,150.7967,84.02,5.39
187,broome,75.0,US,1615613930,63.0,42.2506,-75.833,28.99,17.27
188,batagay,16.0,RU,1615613931,84.0,67.6333,134.6333,-7.15,4.74
189,bayanday,86.0,RU,1615613931,94.0,53.0661,105.5139,32.0,2.1
190,bethel,1.0,US,1615613795,36.0,41.3712,-73.414,51.8,18.41
191,kodiak,1.0,US,1615613931,36.0,57.79,-152.4072,23.0,19.57
192,haputale,75.0,LK,1615613931,79.0,6.7681,80.9595,86.0,12.66
193,port lincoln,32.0,AU,1615613869,55.0,-34.7333,135.8667,61.9,21.5
194,chuy,68.0,UY,1615613932,90.0,-33.6971,-53.4616,67.1,5.41
195,siva,0.0,EG,1615613932,61.0,29.2041,25.5195,54.52,7.83
196,ornskoldsvik,90.0,SE,1615613932,100.0,63.2909,18.7153,28.4,3.44
197,victoria,61.0,HK,1615613718,73.0,22.2855,114.1577,80.01,4.0
198,cabedelo,40.0,BR,1615613932,88.0,-6.9811,-34.8339,77.0,10.69
199,bambous virieux,40.0,MU,1615613818,70.0,-20.3428,57.7575,84.2,11.5
200,fare,40.0,PF,1615613933,66.0,-16.7,-151.0167,83.26,3.13
201,merrill,1.0,US,1615613933,79.0,45.1805,-89.6835,28.4,3.98
202,savalou,100.0,BJ,1615613933,76.0,7.9281,1.9756,80.22,1.43
203,kamenskoye,,,,,,,,
204,ixtapa,1.0,MX,1615613933,94.0,20.7,-105.2,71.01,2.3
205,nizhneyansk,,,,,,,,
206,arandis,43.0,NA,1615613934,96.0,-22.4167,14.9667,60.01,3.0
207,saint-philippe,90.0,RE,1615613934,57.0,-21.3585,55.7679,82.4,5.75
208,hithadhoo,6.0,MV,1615613735,61.0,-0.6,73.0833,83.62,4.68
209,north bay,1.0,CA,1615613934,61.0,46.3168,-79.4663,16.0,6.91
210,roald,20.0,NO,1615613934,65.0,62.5833,6.1333,41.0,9.22
211,havoysund,90.0,NO,1615613935,73.0,70.9963,24.6622,21.2,6.91
212,mecca,0.0,SA,1615613761,31.0,21.4267,39.8261,83.01,5.41
213,natal,40.0,BR,1615613639,78.0,-5.795,-35.2094,80.6,6.91
214,gat,27.0,IL,1615613813,100.0,31.61,34.7642,55.0,1.99
215,urdzhar,,,,,,,,
216,lavumisa,26.0,SZ,1615613935,83.0,-27.31,31.892,74.57,4.63
217,san juan,55.0,AR,1615613935,63.0,-31.5375,-68.5364,72.01,7.09
218,yulara,90.0,AU,1615613935,65.0,-25.2406,130.9889,77.0,12.66
219,pokrovsk,100.0,UA,1615613936,74.0,48.282,37.1758,25.36,16.6
220,samalaeulu,,,,,,,,
221,vao,77.0,NC,1615613876,75.0,-22.6667,167.4833,77.38,19.1
222,charters towers,18.0,AU,1615613936,47.0,-20.1,146.2667,88.2,13.18
223,verkhnevilyuysk,100.0,RU,1615613936,89.0,63.4453,120.3167,15.75,9.15
224,stoyba,,,,,,,,
225,dikson,100.0,RU,1615613936,91.0,73.5069,80.5464,-13.16,24.94
226,quelimane,75.0,MZ,1615613937,94.0,-17.8786,36.8883,77.0,6.04
227,ngukurr,,,,,,,,
228,san patricio,90.0,US,1615613937,88.0,28.017,-97.5169,72.0,17.27
229,olafsvik,65.0,IS,1615613937,70.0,64.8945,-23.7142,29.34,18.14
230,suluq,0.0,LY,1615613937,60.0,31.6682,20.2521,51.6,7.16
231,saint-augustin,98.0,CA,1615613938,84.0,51.226,-58.6502,22.95,17.78
232,borba,68.0,BR,1615613938,95.0,-4.3878,-59.5939,72.73,1.36
233,chapais,90.0,CA,1615613938,72.0,49.7834,-74.8492,3.2,13.8
234,sistranda,0.0,NO,1615613938,75.0,63.7256,8.834,35.6,13.8
235,rovinj,25.0,HR,1615613918,100.0,45.08,13.64,44.6,2.3
236,asau,100.0,RO,1615613939,66.0,46.4333,26.4,37.99,2.66
237,dawlatabad,100.0,AF,1615613939,51.0,36.4141,64.9053,66.97,10.02
238,mopipi,12.0,BW,1615613939,69.0,-21.1833,24.8833,72.84,15.7
239,kyzyl-suu,100.0,KG,1615613939,43.0,42.3414,78.0056,48.56,1.21
240,christchurch,0.0,NZ,1615613940,63.0,-43.5333,172.6333,62.6,25.32
241,leshukonskoye,100.0,RU,1615613940,91.0,64.8989,45.7622,10.56,9.15
242,ribeira grande,100.0,PT,1615613940,81.0,38.5167,-28.7,60.51,17.49
243,novo aripuana,94.0,BR,1615613940,97.0,-5.1206,-60.3797,73.22,1.41
244,west wendover,1.0,US,1615613941,33.0,40.7391,-114.0733,39.2,11.5
245,barrow,1.0,US,1615613941,69.0,71.2906,-156.7887,-20.2,17.27
246,illoqqortoormiut,,,,,,,,
247,bol,4.0,TD,1615613941,33.0,13.4586,14.7147,80.87,18.34
248,wellington,0.0,NZ,1615613844,63.0,-41.2866,174.7756,64.4,6.91
249,nanortalik,92.0,GL,1615613941,56.0,60.1432,-45.2371,15.53,7.61
250,houlton,1.0,US,1615613941,69.0,46.1262,-67.8403,32.0,5.75
251,rantauprapat,29.0,ID,1615613942,51.0,2.1,99.8333,91.15,3.65
252,sur,10.0,OM,1615613942,22.0,22.5667,59.5289,91.99,17.11
253,villablino,62.0,ES,1615613654,86.0,42.9393,-6.3194,39.0,1.01
254,bunia,78.0,CD,1615613942,37.0,1.5667,30.25,79.38,9.08
255,cabra,44.0,ES,1615613942,79.0,37.4725,-4.4421,46.0,3.04
256,tak bai,20.0,TH,1615613943,70.0,6.2595,102.0546,89.6,11.5
257,madingou,100.0,CG,1615613943,96.0,-4.1536,13.55,75.02,1.03
258,constitucion,0.0,CL,1615613756,67.0,-35.3333,-72.4167,57.87,0.85
259,honiara,89.0,SB,1615613943,78.0,-9.4333,159.95,82.17,4.12
260,srandakan,100.0,ID,1615613943,65.0,-7.9386,110.2506,85.5,10.42
261,sibolga,16.0,ID,1615613944,66.0,1.7427,98.7792,86.23,5.99
262,lavrentiya,100.0,RU,1615613836,92.0,65.5833,-171,15.22,21.63
263,college,1.0,US,1615613944,76.0,64.8569,-147.8028,-16.01,2.33
264,mudgee,40.0,AU,1615613944,61.0,-32.5943,149.5871,78.8,17.27
265,amderma,,,,,,,,
266,beloha,0.0,MG,1615613841,61.0,-25.1667,45.05,79.77,14.23
267,kargil,49.0,IN,1615613944,75.0,34.5667,76.1,19.49,1.99
268,tawkar,,,,,,,,
269,aiquile,46.0,BO,1615613945,92.0,-18.2041,-65.1807,51.6,1.3
270,souillac,40.0,MU,1615613945,70.0,-20.5167,57.5167,84.2,11.5
271,kargasok,4.0,RU,1615613945,83.0,59.0556,80.8572,5.14,10.27
272,palmer,1.0,US,1615613945,38.0,42.1584,-72.3287,42.8,19.57
273,sungairaya,27.0,ID,1615613946,66.0,0.7,108.9,85.39,7.45
274,saleaula,,,,,,,,
275,jamsa,90.0,FI,1615613946,93.0,61.8642,25.19,23.0,6.91
276,garissa,78.0,KE,1615613946,67.0,-0.4536,39.6401,78.98,9.42
277,romitan,75.0,UZ,1615613946,81.0,39.9343,64.3814,37.4,9.22
278,andenes,90.0,NO,1615613947,100.0,69.3143,16.1194,32.0,12.66
279,xai-xai,3.0,MZ,1615613947,75.0,-25.0519,33.6442,79.68,6.8
280,portland,1.0,US,1615613720,70.0,45.5234,-122.6762,48.0,1.28
281,morant bay,20.0,JM,1615613947,69.0,17.8815,-76.4093,78.8,3.44
282,kudahuvadhoo,29.0,MV,1615613947,72.0,2.6708,72.8944,83.39,10.07
283,dawei,8.0,MM,1615613947,43.0,14.0833,98.2,93.6,10.94
284,qeshm,75.0,IR,1615613948,69.0,26.9581,56.2719,84.2,4.61
285,cervo,42.0,ES,1615613948,95.0,43.6702,-7.4101,42.01,8.01
286,trinidad,77.0,BO,1615613948,95.0,-14.8333,-64.9,72.88,3.18
287,syumsi,0.0,RU,1615613948,85.0,57.1111,51.6149,14.47,9.62
288,noumea,75.0,NC,1615613917,54.0,-22.2763,166.4572,84.2,10.36
289,petatlan,2.0,MX,1615613949,60.0,17.5167,-101.2667,72.95,2.71
290,pangoa,89.0,PE,1615613949,98.0,-12.1167,-73,66.15,2.15
291,geraldton,0.0,AU,1615613949,30.0,-28.7667,114.6,87.8,19.57
292,suntar,100.0,RU,1615613949,88.0,62.1444,117.6319,25.56,12.59
293,izmaylovo,48.0,RU,1615613950,90.0,53.7211,47.2458,9.59,12.03
294,homer,1.0,US,1615613950,45.0,59.6425,-151.5483,17.6,12.01
295,lompoc,75.0,US,1615613950,93.0,34.6391,-120.4579,48.2,5.08
296,murray bridge,100.0,AU,1615613950,73.0,-35.1167,139.2667,63.0,5.01
297,sorland,97.0,NO,1615613950,95.0,67.667,12.6934,38.46,24.45
298,atyrau,0.0,KZ,1615613951,49.0,47.1167,51.8833,17.6,13.42
299,uspenka,100.0,UA,1615613951,64.0,48.3903,39.1619,25.43,16.49
300,abu dhabi,0.0,AE,1615613894,65.0,24.4667,54.3667,84.2,8.05
301,aklavik,99.0,CA,1615613951,77.0,68.2191,-135.0107,-13.0,5.75
302,sioux lookout,90.0,CA,1615613951,54.0,50.1001,-91.917,23.0,8.05
303,grindavik,40.0,IS,1615613952,80.0,63.8424,-22.4338,30.2,18.41
304,sitka,75.0,US,1615613952,80.0,57.0531,-135.33,30.2,3.44
305,nargana,68.0,PA,1615613952,81.0,9.4428,-78.5906,78.46,14.34
306,nuevo progreso,32.0,MX,1615613952,74.0,23.1667,-97.95,73.99,3.0
307,tezu,0.0,IN,1615613953,25.0,27.9167,96.1667,92.17,5.23
308,kuche,,,,,,,,
309,kismayo,80.0,SO,1615613953,66.0,-0.3582,42.5454,82.42,12.06
310,kaitangata,0.0,NZ,1615613796,70.0,-46.2817,169.8464,64.0,8.01
311,hamilton,90.0,US,1615613655,43.0,39.1834,-84.5333,48.2,8.05
312,camacha,75.0,PT,1615613953,88.0,33.0833,-16.3333,59.0,11.5
313,turukhansk,100.0,RU,1615613953,94.0,65.8167,87.9833,-2.51,22.55
314,dongning,81.0,CN,1615613890,55.0,44.0622,131.1207,45.63,0.74
315,zholymbet,0.0,KZ,1615613954,84.0,51.7433,71.7122,-4.9,10.96
316,guarapari,0.0,BR,1615613954,69.0,-20.6667,-40.4975,77.0,6.91
317,fairbanks,1.0,US,1615613896,76.0,64.8378,-147.7164,-16.01,2.44
318,marawi,10.0,PH,1615613905,81.0,7.9986,124.2928,82.0,5.99
319,zheshart,63.0,RU,1615613954,88.0,62.0731,49.5733,9.37,9.6
320,kruisfontein,28.0,ZA,1615613954,46.0,-34.0033,24.7314,77.31,7.45
321,yataity,0.0,PY,1615613955,62.0,-26.3667,-56.0667,63.18,2.89
322,gao,0.0,ML,1615613955,29.0,16.6362,1.637,62.22,10.0
323,sabzevar,90.0,IR,1615613955,70.0,36.2126,57.6819,37.4,25.32
324,pangnirtung,91.0,CA,1615613814,97.0,66.1451,-65.7125,-10.34,1.52
325,dolbeau,,,,,,,,
326,dzhusaly,,,,,,,,
